English_words,Hebrew_meaning,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,score,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
beggar ,"קַבְּצָן, פּוֹשֵׁט יָד",,,,,beggar ,0.0,,,,,,,***,,,,,,,,,,,,,,,
ephemeral,"בֶּן-חֲלוֹף, אֲרָעִי",,,,,ephemeral,0.0,,,,,,,,,,,,,,,,,,,,,,
disparaging,"מַשְׁפִּיל, בִּזְיוֹנִי",,,,,disparaging,0.0,,,,,,,,,,,,,,,,,,,,,,
impediment,"מְנִיעָה, מִגְבָּלָה, עִכּוּב; לִקּוּי, פְּגָם",,,,,impediment,0.0,,,,,,,,,,,,,,,,,,,,,,
fringe,עשייה תרבותית שאינה משתייכת לזרם המרכזי; שׁוּלַיִם;,,,,,fringe,1.0,,,,,,,,,,,,,,,,,,,,,,
intensification,"הַגְבָּרָה, הַעֲצָמָה, אִינְטֶנְסִיפִיקַצְיָה",,,,,intensification,0.0,,,,,,,,,,,,,,,,,,,,,,
acute ,"אָקוּטִי, קְרִיטִי, רְצִינִי, חָמוּר",,,,,acute ,0.0,,,,,,,,,,,,,,,,,,,,,,
palpitation,"דְּפִיקוֹת לֵב, פַּלְפִּיטַצְיָה; רַעַד, רֶטֶט",,,,,palpitation,0.0,,,,,,,,,,,,,,,,,,,,,,
pound ,"חָבַט, הָלַם; כָּתַשׁ; הלך או רץ בכבדות",,,,,pound ,0.0,,,,,,,,,,,,,,,,,,,,,,
burdensome ,"מֵעִיק, כָּבֵד",,,,,burdensome ,0.0,,,,,,,,,,,,,,,,,,,,,,
inference ,"הַסָּקָה, הַקָּשָׁה, מַסְקָנָה, הֶקֵּשׁ",,,,,inference ,1.0,,,,,,,,,,,,,,,,,,,,,,
pertain ,"היה שייך ל_, הִשְׁתַּיֵּךְ",,,,,pertain ,0.0,,,,,,,,,,,,,,,,,,,,,,
mayhem ,"מְהוּמָה, תֹּהוּ וָבֹהוּ; הטלת מום",,,,,mayhem ,0.0,,,,,,,,,,,,,,,,,,,,,,
oppression,דִּכּוּי,, , ,,oppression,0.0,,,,,,,,,,,,,,,,,,,,,,
strife ,"עִמּוּת, מַאֲבָק, סִכְסוּךְ, רִיב",,,,,strife ,0.0,,,,,,,,,,end,,,,,,,,,,,,
inexorably ,"נֶחְרָצוֹת, הֶחְלֵטִית, בקשיחות",,,,,inexorably ,0.0,,,,,,,,,,,,,,,,,,,,,,
malevolent ,"מְרֻשָּׁע, זְדוֹנִי; חוֹרֵשׁ רָעָה [רַע]",,,,,malevolent ,1.0,,,,,,,,,,,,,,,,,,,,,,
assertion ,"הַכְרָזָה, טַעֲנָה; עמידה על זכות",,,,,assertion ,0.0,,,,,,,,,,,,,,,,,,,,,,
alteration ,"שִׁנּוּי, תִּקּוּן",,,,,alteration ,0.0,,,,,,,,,,,,,,,,,,,,,,
confine ,"הִגְבִּיל, תָּחַם",,,,,confine ,0.0,,,,,,,,,,,,,,,,,,,,,,
stance ,"עֶמְדָּה, הַשְׁקָפָה, תְּפִיסָה",,,,,stance ,1.0,,,,,,,,,,,,,,,,,,,,,,
invoke ,"קָרָא (לעזרתו של האל וכדומה), הִתְפַּלֵּל; הִתְחַנֵּן (לעזרה); הֵבִיא לִידֵי, עוֹרֵר; הֶעֱלָה (זכרונות, רשמים וכד')",,,,,invoke ,0.0,,,,,,,,,,,,,,,,,,,,,,
comprehend ,"הֵבִין, תָּפַס",,,,,comprehend ,1.0,,,,,,,,,,,,,,,,,,,,,,
antidote ,תרופה נוגדת רעל,,,,,antidote ,0.0,,,,,,,,,,,,,,,,,,,,,,
dim ,"עִמְעֵם, עִמֵּם",,,,,dim ,0.0,,,,,,,,,,,,,,,,,,,,,,
practitioner ,אדם שעוסק במקצוע כלשהו,,,,,practitioner ,0.0,,,,,,,,,,,,,,,,,,,,,,
beleaguer,"כִּתֵּר, צָר; הִטְרִיד, נִטְפַּל",,,,,beleaguer,1.0,,,,,,,,,,,,,,,,,,,,,,
perplexing ,"מֵבִיךְ, מבלבל",,,,,perplexing ,0.0,,,,,,,,,,,,,,,,,,,,,,*****
rustle ,"רִשְׁרוּשׁ, רַחְשׁוּשׁ, אִוְשָׁה",,,,,rustle ,0.0,,,,,,,,,,,,,,,,,,,,,,
dreadful,"אָיֹם, נוֹרָא",,,,,dreadful,0.0,,,,,,,,,,,,,,,,,,,,,,
insofar ,"כְּכָל שֶׁ., כֵּן [כָּךְ].",,,,,insofar ,0.0,,,,,,,,,,,,,,,,,,,,,,
facade ,"חֲזִית, החלק הקדמי (של בניין וכדומה); חָזוּת, מַרְאֶה, חִיצוֹנִיּוּת, פָסָדָה, פָסוֹן",,,,,facade ,0.0,,,,,,,,,,,,,,,,,,,,,,
stultification ,"סִכּוּל, טִרְפּוּד; בִּזּוּי, הִתְקַלְּסוּת, העמדה באור מגוחך",,,,,stultification ,0.0,,,,,,,,,,,,,,,,,,,,,,
congenial ,"יְדִידוּתִי, נָעִים, סִימְפָּתִי",,,,,congenial ,0.0,,,,,,,,,,,,,,,,,,,,,,
dwell ,"שָׁכַן, הִתְגּוֹרֵר",,,,,dwell ,1.0,,,,,,,,,,,,,,,,,,,,,,
inanimate ,דּוֹמֵם,,,,,inanimate ,0.0,,,,,,,,,,,,,,,,,,,,,,
lumberjack,"חוֹטֵב עֵצִים, כּוֹרֵת",,,,,lumberjack,0.0,,,,,,,,,,,,,,,,,,,,,,
realm,מַמְלָכָה; תְּחוּם,,,,,realm,0.0,,,,,,,,,,,,,,,,,,,,,,
proclivity ,"נְטִיָּה, טֶנְדֶּנְצְיָה",,,,,proclivity ,0.0,,,,,,,,,,,,,,,,,,,,,,
depict ,"תֵּאֵר, שִׂרְטֵט, הִצִּיג",,,,,depict ,0.0,,,,,,,,,,,,,,,,,,,,,,
lucidly ,באופן צלול ובהיר,,,,,lucidly ,0.0,,,,,,,,,,,,,,,,,,,,,,
articulate,"רָהוּט, שׁוֹטֵף; שיש לו יכולת להביע עצמו באופן רהוט",,,,,articulate,0.0,,,,,,,,,,,,,,,,,,,,,,
lurk,"הִתְגַּנֵּב, אָרַב",,,,,lurk,0.0,,,,,,,,,,,,,,,,,,,,,,
juxtaposition,"נִגּוּד, הַנְגָּדָה; הצבה זה בצד זה (כדי להבליט הבדלים)",,,,,juxtaposition,0.0,,,,,,,,,,,,,,,,,,,,,,
amalgamation,הִתְמַזְּגוּת; מִזּוּג,,,,,amalgamation,0.0,,,,,,,,,,,,,,,,,,,,,,
allude ,"רָמַז, אִזְכֵּר, הִזְכִּיר",,,,,allude ,0.0,,,,,,,,,,,,,,,,,,,,,,
putative ,"ידוע כ_, מקובל כ_, מפורסם כ_",,,,,putative ,1.0,,,,,,,,,,,,,,,,,,,,,,
amiss ,לא כשורה,,,,,amiss ,0.0,,,,,,,,,,,,,,,,,,,,,,
transcend ,הִתְעַלָּה,,,,,transcend ,0.0,,,,,,,,,,,,,,,,,,,,,,
assiduous,"חָרוּץ, שַׁקְדָן",,,,,assiduous,1.0,,,,,,,,,,,,,,,,,,,,,,
superfluous,"עוֹדֵף, מְיֻתָּר",,,,,superfluous,0.0,,,,,,,,,,,,,,,,,,,,,,
primordial ,"קַדְמוֹנִי, קַדְמוֹן, פְּרִימוֹרְדְּיָאלִי, בְּרֵאשִׁיתִי",,,,,primordial ,0.0,,,,,,,,,,,,,,,,,,,,,,
promptly ,"מִיָּדִית, מִיָּד, לְלֹא דִּחוּי",,,,,promptly ,0.0,,,,,,,,,,,,,,,,,,,,,,
farcical ,"קוֹמִי, הִתּוּלִי, מְבַדֵּחַ",,,,,farcical ,0.0,,,,,,,,,,,,,,,,,,,,,,
denigrate ,"הִשְׁמִיץ, הִלְעִיז",,,,,denigrate ,0.0,,,,,,,,,,,,,,,,,,,,,,
contingent ,"מִכְסָה; נְצִיגוּת, נָצִיג; אֶפְשָׁרוּת, מִקְרִיּוּת",,,,,contingent ,0.0,,,,,,,,,,,,,,,,,,,,,,
resentful ,"רָגוּז, כָּעוּס",,,,,resentful ,0.0,,,,,,,,,,,,,,,,,,,,,,
inadequacy ,"אִי-הַתְאָמָה; לִקּוּי, פְּגִימוּת",,,,,inadequacy ,0.0,,,,,,,,,,,,,,,,,,,,,,
contend ,"נֶאֱבַק, הִתְמוֹדֵד; טָעַן, הִתְוַכֵּחַ",,,,,contend ,0.0,,,,,,,,,,,,,,,,,,,,,,
conceive,"הָגָה, הִרְהֵר; הִתְעַבְּרָה, הָרְתָה",,,,,conceive,0.0,,,,,,,,,,,,,,,,,,,,,,
pervade,"הִתְפַּשֵּׁט, חָדַר",,,,,pervade,0.0,,,,,,,,,,,,,,,,,,,,,,
compel ,"חִיֵּב, אִלֵּץ",,,,,compel ,1.0,,,,,,,,,,,,,,,,,,,,,,
imbue ,"הִשְׁרִישׁ, הֶחְדִּיר, הִטְמִיעַ; (נָדִיר) סָפַג",,,,,imbue ,0.0,,,,,,,,,,,,,,,,,,,,,,
respite,"הֲפוּגָה, הַפְסָקָה; מְנוּחָה, הִנָּפְשׁוּת; דְּחִיָּה, אַרְכָּה",,,,,respite,0.0,,,,,,,,,,,,,,,,,,,,,,
bestow ,"הֶעֱנִיק (מתנה, פרס)",,,,,bestow ,0.0,,,,,,,,,,,,,,,,,,,,,,
embody,"גִּלֵּם; כָּלַל, הֵכִיל",,,,,embody,0.0,,,,,,,,,,,,,,,,,,,,,,
cease,"הִפְסִיק, חָדַל",,,,,cease,0.0,,,,,,,,,,,,,,,,,,,,,,
resentment ,"תַּרְעֹמֶת, כַּעַס, טִינָה",,,,,resentment ,0.0,,,,,,,,,,,,,,,,,,,,,,
contempt,"בּוּז, זִלְזוּל, זִילוּת",,,,,contempt,0.0,,,,,,,,,,,,,,,,,,,,,,
diligently,"בהתמדה, בשקדנות",,,,,diligently,0.0,,,,,,,,,,,,,,,,,,,,,,
courtesy ,"אֲדִיבוּת, נִימוּס",,,,,courtesy ,0.0,,,,,,,,,,,,,,,,,,,,,,
virtuous,"מוּסָרִי, יָשָׁר, צַדִּיק, הָגוּן; בְּתוּלִי, טָהוֹר",,,,,virtuous,0.0,,,,,,,,,,,,,,,,,,,,,,
bereft,"נָטוּל, שָׁלוּל; שַׁכּוּל",,,,,bereft,1.0,,,,,,,,,,,,,,,,,,,,,,
degenerative,"מְנֻוָּן; נִוּוּנִי, דֶּגֶנֶרָטִיבִי",,,,,degenerative,0.0,,,,,,,,,,,,,,,,,,,,,,
prairie,עֲרָבָה,,,,,prairie,0.0,,,,,,,,,,,,,,,,,,,,,,
arid ,"צָחִיחַ, יָבֵשׁ, שָׁחוּן",,,,,arid ,0.0,,,,,,,,,,,,,,,,,,,,,,
thaw ,הַפְשָׁרָה,,,,,thaw ,0.0,,,,,,,,,,,,,,,,,,,,,,
